Station,Time,Date,Rainfall (mm) (24 hours),Temp (? C),Rel Humidity (%),Wind Speed (m/s) 
George WO/WK,1400,19440101,0,18.6,69,5.1
George WO/WK,1400,19440102,0,22.9,68,3.1
George WO/WK,1400,19440103,0,22.8,60,3.1
George WO/WK,1400,19440104,0,21.2,72,5.1
George WO/WK,1400,19440105,3,26.1,72,3.1
George WO/WK,1400,19440106,0,23.3,68,3.1
George WO/WK,1400,19440107,0,24.2,76,5.1
George WO/WK,1400,19440108,1,24.4,64,1.5
George WO/WK,1400,19440109,0.8,23.9,70,3.1
George WO/WK,1400,19440110,1,20.1,75,8.2
George WO/WK,1400,19440111,0.3,21.7,66,5.1
George WO/WK,1400,19440112,0,26.3,70,3.1
George WO/WK,1400,19440113,0.5,23.8,58,5.1
George WO/WK,1400,19440114,0,22.5,84,5.1
George WO/WK,1400,19440115,1.5,23.8,72,3.1
George WO/WK,1400,19440116,0,20.1,80,3.1
George WO/WK,1400,19440117,0.3,23.9,72,3.1
George WO/WK,1400,19440118,0,24.8,58,5.1
George WO/WK,1400,19440119,0,24.1,50,8.2
George WO/WK,1400,19440120,0,23.9,74,1.5
George WO/WK,1400,19440121,0,20.1,77,3.1
George WO/WK,1400,19440122,0,21.3,66,3.1
George WO/WK,1400,19440123,0,25.6,62,3.1
George WO/WK,1400,19440124,0,25.6,65,1.5
George WO/WK,1400,19440125,0,22.2,70,1.5
George WO/WK,1400,19440126,0.3,25.7,60,3.1
George WO/WK,1400,19440127,0,20.3,72,3.1
George WO/WK,1400,19440128,0,26.9,60,5.1
George WO/WK,1400,19440129,2.5,17.1,83,5.1
George WO/WK,1400,19440130,0,22.9,68,10.8
George WO/WK,1400,19440131,8.9,23,66,5.1
George WO/WK,1400,19440201,0.5,17.8,75,0
George WO/WK,1400,19440202,0,21.8,61,2.6
George WO/WK,1400,19440203,0,24.2,62,1.5
George WO/WK,1400,19440204,0.3,26.1,66,1.5
George WO/WK,1400,19440205,0,25.7,72,1.5
George WO/WK,1400,19440206,0,26.1,70,0
George WO/WK,1400,19440207,0,24.9,74,1.5
George WO/WK,1400,19440208,0.8,23.8,71,0
George WO/WK,1400,19440209,2,22.2,73,1.5
George WO/WK,1400,19440210,2.5,20.2,97,0
George WO/WK,1400,19440211,9.9,23.9,63,1.5
George WO/WK,1400,19440212,0,20.6,67,1.5
George WO/WK,1400,19440213,0,26.8,42,0
George WO/WK,1400,19440214,0,23.8,69,1.5
George WO/WK,1400,19440215,0,25,60,0
George WO/WK,1400,19440216,0.3,25.8,68,1.5
George WO/WK,1400,19440217,1.8,22,84,2.1
George WO/WK,1400,19440218,3.3,19.4,71,2.1
George WO/WK,1400,19440219,0,24.8,44,0
George WO/WK,1400,19440220,0,25,63,1.5
George WO/WK,1400,19440221,5.1,23.6,61,1.5
George WO/WK,1400,19440222,2.3,19,82,0
George WO/WK,1400,19440223,5.8,16.8,85,0
George WO/WK,1400,19440224,0,22.1,70,2.1
George WO/WK,1400,19440225,0,24.3,69,2.1
George WO/WK,1400,19440226,22.1,27.6,57,0
George WO/WK,1400,19440227,5.8,20.7,86,2.1
George WO/WK,1400,19440228,0.3,20.6,69,1.5
George WO/WK,1400,19440229,0,22.2,60,1.5
George WO/WK,1400,19440301,0,28.3,49,3.1
George WO/WK,1400,19440302,4.6,23.9,67,8.2
George WO/WK,1400,19440303,13.2,18.8,97,5.1
George WO/WK,1400,19440304,0,20.8,74,6.7
George WO/WK,1400,19440305,0,23.3,72,8.2
George WO/WK,1400,19440306,0.8,30.6,41,8.2
George WO/WK,1400,19440307,0,25,81,1.5
George WO/WK,1400,19440308,20.6,17.8,100,1.5
George WO/WK,1400,19440309,0.3,15.6,87,8.2
George WO/WK,1400,19440310,0,18.5,86,5.1
George WO/WK,1400,19440311,0,20.1,81,3.1
George WO/WK,1400,19440312,0,23.3,67,3.1
George WO/WK,1400,19440313,0,19.9,74,3.1
George WO/WK,1400,19440314,0.5,19.7,61,5.1
George WO/WK,1400,19440315,0,18.4,74,3.1
George WO/WK,1400,19440316,0,23.8,47,5.1
George WO/WK,1400,19440317,0,29.8,38,3.1
George WO/WK,1400,19440318,0,22.2,66,5.1
George WO/WK,1400,19440319,12.4,26.1,49,3.1
George WO/WK,1400,19440320,18.5,17.4,99,5.1
George WO/WK,1400,19440321,0,20.4,70,8.2
George WO/WK,1400,19440322,0,25.4,51,3.1
George WO/WK,1400,19440323,0,20.4,62,5.1
George WO/WK,1400,19440324,2.5,20.6,70,1.5
George WO/WK,1400,19440325,0,25,56,3.1
George WO/WK,1400,19440326,1.8,16.1,98,1.5
George WO/WK,1400,19440327,0,18.2,81,3.1
George WO/WK,1400,19440328,0,16.8,80,8.2
George WO/WK,1400,19440329,0,17.8,61,5.1
George WO/WK,1400,19440330,0,22.4,68,1.5
George WO/WK,1400,19440331,0,19.7,70,5.1
George WO/WK,1400,19440401,0,19.7,69,3.2
George WO/WK,1400,19440402,0,22.3,60,3.2
George WO/WK,1400,19440403,0.3,26.4,51,3.2
George WO/WK,1400,19440404,0.3,20.6,72,3.2
George WO/WK,1400,19440405,0.5,21.4,75,3.2
George WO/WK,1400,19440406,0.3,21.1,73,3.2
George WO/WK,1400,19440407,0.3,21.1,76,3.2
George WO/WK,1400,19440408,0,20.6,70,3.2
George WO/WK,1400,19440409,1,17.1,87,3.2
George WO/WK,1400,19440410,0,20.2,70,3.2
George WO/WK,1400,19440411,0,21.1,74,3.2
George WO/WK,1400,19440412,21.8,19.6,77,3.2
George WO/WK,1400,19440413,0.3,15.9,68,3.2
George WO/WK,1400,19440414,0,16,73,3.2
George WO/WK,1400,19440415,0,19.7,63,3.2
George WO/WK,1400,19440416,0,23.1,55,3.2
George WO/WK,1400,19440417,0,21.6,59,3.2
George WO/WK,1400,19440418,0,22.4,61,3.2
George WO/WK,1400,19440419,0,29.6,29,3.2
George WO/WK,1400,19440420,0,21.2,63,3.2
George WO/WK,1400,19440421,0,20.4,79,3.2
George WO/WK,1400,19440422,0.3,23.5,55,3.2
George WO/WK,1400,19440423,0,23.2,66,3.2
George WO/WK,1400,19440424,6.9,17.9,88,3.2
George WO/WK,1400,19440425,0,18.9,67,3.2
George WO/WK,1400,19440426,0.5,22.9,48,3.2
George WO/WK,1400,19440427,1.8,15.2,76,3.2
